municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro;2020/05/17 09:00:00;61;51,12;1460;1223,63;079603
Madrid-Salamanca;2020/05/17 09:00:00;53;36,28;1628;1114,27;079604
Madrid-Centro;2020/05/17 09:00:00;33;24,47;1148;851,33;079601
Madrid-Arganzuela;2020/05/17 09:00:00;39;25,36;1564;1016,89;079602
Madrid-Chamartín;2020/05/17 09:00:00;32;21,94;1615;1107,31;079605
Madrid-Tetuán;2020/05/17 09:00:00;39;24,68;2104;1331,45;079606
Madrid-Chamberí;2020/05/17 09:00:00;54;38,74;1540;1104,9;079607
Madrid-Fuencarral-El Pardo;2020/05/17 09:00:00;77;31,31;2956;1201,92;079608
Madrid-Moncloa-Aravaca;2020/05/17 09:00:00;56;46,89;1410;1180,72;079609
Madrid-Latina;2020/05/17 09:00:00;82;34,42;2742;1151,05;079610
Madrid-Carabanchel;2020/05/17 09:00:00;88;34,77;2668;1054,13;079611
Madrid-Usera;2020/05/17 09:00:00;35;25,05;1379;986,83;079612
Madrid-Puente de Vallecas;2020/05/17 09:00:00;104;44,28;3031;1290,57;079613
Madrid-San Blas - Canillejas;2020/05/17 09:00:00;47;29,72;1450;916,9;079620
Madrid-Barajas;2020/05/17 09:00:00;6;12,26;422;862,19;079621
Madrid-Moratalaz;2020/05/17 09:00:00;45;47,58;1322;1397,91;079614
Madrid-Ciudad Lineal;2020/05/17 09:00:00;54;24,97;2183;1009,32;079615
Madrid-Hortaleza;2020/05/17 09:00:00;41;21,79;1728;918,24;079616
Madrid-Villaverde;2020/05/17 09:00:00;46;30,88;1409;945,98;079617
Madrid-Villa de Vallecas;2020/05/17 09:00:00;35;31,71;1208;1094,55;079618
Madrid-Vicálvaro;2020/05/17 09:00:00;51;70,74;814;1129,13;079619
Pozuelo de Alarcón;2020/05/17 09:00:00;40;46,28;793;917,59;1150  
Alcorcón;2020/05/17 09:00:00;59;34,6;1837;1077,33;0072  
Navalcarnero;2020/05/17 09:00:00;;13,65;173;590,48;0967  
San Agustín del Guadalix;2020/05/17 09:00:00;;14,95;62;463,41;1296  
Las Rozas de Madrid;2020/05/17 09:00:00;28;29,22;799;833,91;1277  
Moraleja de Enmedio;2020/05/17 09:00:00;;0;25;486,76;0894  
Valdaracete;2020/05/17 09:00:00;;164,2;6;985,22;1551  
Pozuelo del Rey;2020/05/17 09:00:00;;0;;174,37;1163  
Puebla de la Sierra;2020/05/17 09:00:00;;0;;0;1185  
Perales de Tajuña;2020/05/17 09:00:00;;68,14;10;340,72;1104  
Valdemorillo;2020/05/17 09:00:00;;31,95;50;399,42;1603  
Navalafuente;2020/05/17 09:00:00;;0;7;483,09;0941  
Velilla de San Antonio;2020/05/17 09:00:00;;24,52;73;596,6;1678  
Villanueva de la Cañada;2020/05/17 09:00:00;10;46,63;150;699,46;1760  
Villanueva del Pardillo;2020/05/17 09:00:00;;23,28;103;599,53;1776  
Nuevo Baztán;2020/05/17 09:00:00;;0;28;446,14;1006  
Villamantilla;2020/05/17 09:00:00;;0;7;485,77;1757  
Villamanta;2020/05/17 09:00:00;;0;12;469,67;1744  
Cabanillas de la Sierra;2020/05/17 09:00:00;;0;10;1322,75;0297  
Cenicientos;2020/05/17 09:00:00;;147,57;29;1426,46;0376  
Puentes Viejas;2020/05/17 09:00:00;;0;;294,55;9020  
Aranjuez;2020/05/17 09:00:00;6;10,07;448;751,59;0133  
Cercedilla;2020/05/17 09:00:00;8;113,86;118;1679,48;0382  
Santorcaz;2020/05/17 09:00:00;;0;7;790,07;1369  
Coslada;2020/05/17 09:00:00;25;30,61;807;988,23;0493  
Morata de Tajuña;2020/05/17 09:00:00;;39,05;98;1275,54;0915  
Robregordo;2020/05/17 09:00:00;;0;;0;1261  
Navarredonda y San Mamés;2020/05/17 09:00:00;;0;;1550,39;0973  
Venturada;2020/05/17 09:00:00;;0;;138,7;1697  
Navacerrada;2020/05/17 09:00:00;;0;18;605,65;0936  
Montejo de la Sierra;2020/05/17 09:00:00;;0;;283,29;0881  
Fresno de Torote;2020/05/17 09:00:00;;0;14;630,35;0571  
Pinilla del Valle;2020/05/17 09:00:00;;0;;0;1126  
Valdemaqueda;2020/05/17 09:00:00;;0;;640,2;1599  
Navas del Rey;2020/05/17 09:00:00;15;514,05;78;2673,06;0992  
Olmeda de las Fuentes;2020/05/17 09:00:00;;0;;862,07;1013  
Bustarviejo;2020/05/17 09:00:00;;0;7;279,66;0284  
Becerril de la Sierra;2020/05/17 09:00:00;;0;32;560,03;0186  
Fuenlabrada;2020/05/17 09:00:00;42;21,68;1548;799,17;0587  
Garganta de los Montes;2020/05/17 09:00:00;;0;;288,18;0626  
Pinto;2020/05/17 09:00:00;20;38,08;281;534,97;1132  
Alameda del Valle;2020/05/17 09:00:00;;0;;0;0035  
Berzosa del Lozoya;2020/05/17 09:00:00;;0;;975,61;0203  
Los Santos de la Humosa;2020/05/17 09:00:00;;0;20;772,2;1375  
El Álamo;2020/05/17 09:00:00;;31,68;81;855,33;0040  
Pelayos de la Presa;2020/05/17 09:00:00;;38,52;18;693,37;1090  
Galapagar;2020/05/17 09:00:00;25;74,09;274;812,04;0611  
Griñón;2020/05/17 09:00:00;;29,07;85;823,72;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/05/17 09:00:00;;316,46;;1265,82;0632  
Aldea del Fresno;2020/05/17 09:00:00;;105,71;57;2008,46;0088  
Carabaña;2020/05/17 09:00:00;;0;14;696,52;0357  
Talamanca de Jarama;2020/05/17 09:00:00;;0;29;751,88;1454  
Chapinería;2020/05/17 09:00:00;;42,96;7;300,69;0513  
Ciempozuelos;2020/05/17 09:00:00;15;61;239;971,86;0409  
Ajalvir;2020/05/17 09:00:00;;84,89;18;382;0029  
San Lorenzo de El Escorial;2020/05/17 09:00:00;;27,22;143;778,49;1317  
Gascones;2020/05/17 09:00:00;;0;;0;0647  
San Martín de la Vega;2020/05/17 09:00:00;;15,65;90;469,48;1322  
Móstoles;2020/05/17 09:00:00;156;74,58;2102;1004,86;0920  
Leganés;2020/05/17 09:00:00;70;36,87;2980;1569,57;0745  
Braojos;2020/05/17 09:00:00;;0;;975,61;0246  
Cubas de la Sagra;2020/05/17 09:00:00;;31,19;29;452,21;0506  
Algete;2020/05/17 09:00:00;;9,7;109;528,84;0091  
Mejorada del Campo;2020/05/17 09:00:00;;8,59;174;747,62;0843  
Loeches;2020/05/17 09:00:00;;11,38;49;557,39;0758  
Parla;2020/05/17 09:00:00;16;12,3;754;579,45;1065  
Fuentidueña de Tajo;2020/05/17 09:00:00;;48,71;18;876,77;0604  
Ambite;2020/05/17 09:00:00;;0;7;1182,43;0112  
Torremocha de Jarama;2020/05/17 09:00:00;;0;8;785,08;1533  
Anchuelo;2020/05/17 09:00:00;;0;7;550,75;0127  
Los Molinos;2020/05/17 09:00:00;;91,14;57;1298,7;0875  
Soto del Real;2020/05/17 09:00:00;;0;65;738,72;1441  
Valverde de Alcalá;2020/05/17 09:00:00;;0;8;1720,43;1662  
Fuente el Saz de Jarama;2020/05/17 09:00:00;;29,87;34;507,77;0590  
Horcajo de la Sierra-Aoslos;2020/05/17 09:00:00;;0;;2758,62;0702  
Valdeolmos-Alalpardo;2020/05/17 09:00:00;;0;11;265,96;1625  
Campo Real;2020/05/17 09:00:00;;48,31;27;434,78;0339  
Valdeavero;2020/05/17 09:00:00;;0;8;514,8;1564  
Villamanrique de Tajo;2020/05/17 09:00:00;;0;;568,99;1739  
Cobeña;2020/05/17 09:00:00;9;121,16;74;996,23;0416  
Fresnedillas de la Oliva;2020/05/17 09:00:00;;0;9;572,52;0565  
Valdilecha;2020/05/17 09:00:00;;0;18;613,71;1659  
El Berrueco;2020/05/17 09:00:00;;0;8;1052,63;0210  
Pezuela de las Torres;2020/05/17 09:00:00;;0;;237,53;1111  
Villar del Olmo;2020/05/17 09:00:00;;0;;198,91;1795  
Guadarrama;2020/05/17 09:00:00;20;124,75;221;1378,49;0685  
San Martín de Valdeiglesias;2020/05/17 09:00:00;;23,64;87;1028,49;1338  
Torrelodones;2020/05/17 09:00:00;19;80,11;346;1458,87;1527  
Boadilla del Monte;2020/05/17 09:00:00;41;75,13;359;657,87;0225  
Torrejón de Velasco;2020/05/17 09:00:00;;0;20;456,41;1505  
Villanueva de Perales;2020/05/17 09:00:00;;0;;319,9;1782  
Tielmes;2020/05/17 09:00:00;;0;33;1245,28;1467  
San Sebastián de los Reyes;2020/05/17 09:00:00;13;14,56;488;546,62;1343  
Guadalix de la Sierra;2020/05/17 09:00:00;10;160,93;50;804,63;0679  
Humanes de Madrid;2020/05/17 09:00:00;8;40,52;119;602,75;0730  
Chinchón;2020/05/17 09:00:00;;37,52;27;506,47;0528  
Cadalso de los Vidrios;2020/05/17 09:00:00;;0;8;263,24;0318  
Hoyo de Manzanares;2020/05/17 09:00:00;;59,28;38;450,56;0724  
Torrejón de la Calzada;2020/05/17 09:00:00;;11,27;38;428,31;1492  
Estremera;2020/05/17 09:00:00;;0;9;714,29;0552  
Corpa;2020/05/17 09:00:00;;0;6;841,51;0480  
Meco;2020/05/17 09:00:00;;6,99;128;894,79;0838  
Madarcos;2020/05/17 09:00:00;;0;;0;0783  
Zarzalejo;2020/05/17 09:00:00;7;422,2;31;1869,72;1837  
Arganda del Rey;2020/05/17 09:00:00;14;25,28;348;628,28;0148  
Collado Mediano;2020/05/17 09:00:00;;14,37;32;459,9;0468  
Daganzo de Arriba;2020/05/17 09:00:00;;19,6;41;401,76;0534  
Manzanares El Real;2020/05/17 09:00:00;6;67,87;44;497,74;0822  
Buitrago del Lozoya;2020/05/17 09:00:00;;0;15;796,18;0278  
Valdelaguna;2020/05/17 09:00:00;;0;;106,72;1570  
Valdepiélagos;2020/05/17 09:00:00;;0;;0;1631  
Casarrubuelos;2020/05/17 09:00:00;;0;11;291,16;0360  
Miraflores de la Sierra;2020/05/17 09:00:00;;32,74;37;605,76;0856  
Paracuellos de Jarama;2020/05/17 09:00:00;;3,96;71;280,98;1049  
El Vellón;2020/05/17 09:00:00;;51,07;14;715,02;1684  
Lozoya;2020/05/17 09:00:00;;0;;172,12;0761  
Collado Villalba;2020/05/17 09:00:00;34;53,39;524;822,88;0474  
Colmenarejo;2020/05/17 09:00:00;;54,76;46;503,83;0442  
Villavieja del Lozoya;2020/05/17 09:00:00;;0;;0;1821  
Prádena del Rincón;2020/05/17 09:00:00;;0;;0;1179  
La Cabrera;2020/05/17 09:00:00;;37,5;12;449,94;0301  
Sevilla la Nueva;2020/05/17 09:00:00;6;64,39;131;1405,88;1415  
La Acebeda;2020/05/17 09:00:00;;0;;0;0014  
Redueña;2020/05/17 09:00:00;;0;;769,23;1219  
Robledillo de la Jara;2020/05/17 09:00:00;;0;;1250;1245  
La Serna del Monte;2020/05/17 09:00:00;;0;;0;1381  
Colmenar de Oreja;2020/05/17 09:00:00;;12,45;26;323,71;0437  
Rozas de Puerto Real;2020/05/17 09:00:00;;0;;566,04;1283  
Valdemanco;2020/05/17 09:00:00;;0;;109,41;1586  
Brunete;2020/05/17 09:00:00;36;335,32;113;1052,53;0262  
Titulcia;2020/05/17 09:00:00;;0;9;685,45;1473  
Villa del Prado;2020/05/17 09:00:00;;76,69;119;1825,15;1718  
Lozoyuela-Navas-Sieteiglesias;2020/05/17 09:00:00;;0;;230,95;9015  
Quijorna;2020/05/17 09:00:00;;0;22;639,72;1198  
Valdemoro;2020/05/17 09:00:00;19;25,01;789;1038,39;1610  
Tres Cantos;2020/05/17 09:00:00;70;146,68;419;878;9036  
Torrelaguna;2020/05/17 09:00:00;;84,03;22;462,18;1512  
Rivas-Vaciamadrid;2020/05/17 09:00:00;25;28,36;562;637,55;1230  
El Atazar;2020/05/17 09:00:00;;0;;0;0164  
Pedrezuela;2020/05/17 09:00:00;;16,97;26;441,28;1087  
Santa María de la Alameda;2020/05/17 09:00:00;;0;6;478,47;1356  
Horcajuelo de la Sierra;2020/05/17 09:00:00;;0;;0;0719  
Arroyomolinos;2020/05/17 09:00:00;20;63,7;181;576,51;0151  
Moralzarzal;2020/05/17 09:00:00;;23,03;76;583,45;0908  
Canencia;2020/05/17 09:00:00;;0;;447,43;0344  
Villarejo de Salvanés;2020/05/17 09:00:00;;40,9;38;518,06;1809  
Serranillos del Valle;2020/05/17 09:00:00;;24,01;34;816,33;1408  
Villaviciosa de Odón;2020/05/17 09:00:00;9;32,33;209;750,85;1816  
Camarma de Esteruelas;2020/05/17 09:00:00;;0;42;572,52;0323  
Robledo de Chavela;2020/05/17 09:00:00;;46,84;28;655,74;1258  
Patones;2020/05/17 09:00:00;;0;6;1109,06;1071  
Navalagamella;2020/05/17 09:00:00;;0;6;229,89;0954  
Rascafría;2020/05/17 09:00:00;;0;6;360,58;1202  
El Boalo;2020/05/17 09:00:00;;26,64;42;559,4;0231  
Majadahonda;2020/05/17 09:00:00;30;41,77;575;800,55;0800  
Batres;2020/05/17 09:00:00;;0;8;475,06;0170  
Alcobendas;2020/05/17 09:00:00;45;38,45;787;672,42;0066  
Alcalá de Henares;2020/05/17 09:00:00;36;18,4;2348;1200,11;0053  
Colmenar Viejo;2020/05/17 09:00:00;51;100,49;423;833,46;0455  
San Fernando de Henares;2020/05/17 09:00:00;11;27,9;416;1054,98;1300  
Villalbilla;2020/05/17 09:00:00;;21,62;93;670,13;1723  
El Escorial;2020/05/17 09:00:00;35;216,56;139;860,04;0549  
Colmenar del Arroyo;2020/05/17 09:00:00;;0;49;2840,58;0421  
Torrejón de Ardoz;2020/05/17 09:00:00;38;28,92;987;751,28;1489  
Piñuécar-Gandullas;2020/05/17 09:00:00;;0;;0;1147  
Brea de Tajo;2020/05/17 09:00:00;;0;6;1145,04;0259  
El Molar;2020/05/17 09:00:00;;0;35;391,59;0869  
Belmonte de Tajo;2020/05/17 09:00:00;;0;;300,48;0199  
Torres de la Alameda;2020/05/17 09:00:00;;0;75;964,13;1548  
Somosierra;2020/05/17 09:00:00;;0;;1162,79;1436  
Alpedrete;2020/05/17 09:00:00;;6,86;140;960,55;0105  
Orusco de Tajuña;2020/05/17 09:00:00;;0;17;1366,56;1028  
La Hiruela;2020/05/17 09:00:00;;0;;1754,39;0698  
Cervera de Buitrago;2020/05/17 09:00:00;;0;;2000;0395  
Getafe;2020/05/17 09:00:00;49;26,72;1314;716,57;0650  
Ribatejada;2020/05/17 09:00:00;;0;;255,43;1224  
Villaconejos;2020/05/17 09:00:00;;29,52;9;265,64;1701  
Valdetorres de Jarama;2020/05/17 09:00:00;;0;17;378,03;1646  
Madrid-Retiro;2020/05/16 09:00:00;75;62,86;1460;1223,63;079603
Madrid-Salamanca;2020/05/16 09:00:00;53;36,28;1625;1112,22;079604
Madrid-Centro;2020/05/16 09:00:00;35;25,96;1148;851,33;079601
Madrid-Arganzuela;2020/05/16 09:00:00;40;26,01;1563;1016,24;079602
Madrid-Chamartín;2020/05/16 09:00:00;34;23,31;1615;1107,31;079605
Madrid-Tetuán;2020/05/16 09:00:00;39;24,68;2102;1330,19;079606
Madrid-Chamberí;2020/05/16 09:00:00;53;38,03;1534;1100,6;079607
Madrid-Fuencarral-El Pardo;2020/05/16 09:00:00;83;33,75;2952;1200,3;079608
Madrid-Moncloa-Aravaca;2020/05/16 09:00:00;60;50,24;1409;1179,88;079609
Madrid-Latina;2020/05/16 09:00:00;85;35,68;2737;1148,95;079610
Madrid-Carabanchel;2020/05/16 09:00:00;96;37,93;2668;1054,13;079611
Madrid-Usera;2020/05/16 09:00:00;38;27,19;1379;986,83;079612
Madrid-Puente de Vallecas;2020/05/16 09:00:00;106;45,13;3031;1290,57;079613
Madrid-San Blas - Canillejas;2020/05/16 09:00:00;50;31,62;1449;916,27;079620
Madrid-Barajas;2020/05/16 09:00:00;;10,22;421;860,15;079621
Madrid-Moratalaz;2020/05/16 09:00:00;47;49,7;1322;1397,91;079614
Madrid-Ciudad Lineal;2020/05/16 09:00:00;54;24,97;2180;1007,93;079615
Madrid-Hortaleza;2020/05/16 09:00:00;40;21,26;1724;916,11;079616
Madrid-Villaverde;2020/05/16 09:00:00;45;30,21;1407;944,64;079617
Madrid-Villa de Vallecas;2020/05/16 09:00:00;36;32,62;1208;1094,55;079618
Madrid-Vicálvaro;2020/05/16 09:00:00;50;69,36;811;1124,97;079619
Pozuelo de Alarcón;2020/05/16 09:00:00;40;46,28;792;916,43;1150  
Alcorcón;2020/05/16 09:00:00;56;32,84;1832;1074,4;0072  
Navalcarnero;2020/05/16 09:00:00;;13,65;173;590,48;0967  
San Agustín del Guadalix;2020/05/16 09:00:00;;14,95;62;463,41;1296  
Las Rozas de Madrid;2020/05/16 09:00:00;28;29,22;791;825,56;1277  
Moraleja de Enmedio;2020/05/16 09:00:00;;0;25;486,76;0894  
Valdaracete;2020/05/16 09:00:00;;164,2;6;985,22;1551  
Pozuelo del Rey;2020/05/16 09:00:00;;0;;174,37;1163  
Puebla de la Sierra;2020/05/16 09:00:00;;0;;0;1185  
Perales de Tajuña;2020/05/16 09:00:00;;68,14;10;340,72;1104  
Valdemorillo;2020/05/16 09:00:00;;31,95;50;399,42;1603  
Navalafuente;2020/05/16 09:00:00;;0;7;483,09;0941  
Velilla de San Antonio;2020/05/16 09:00:00;;24,52;73;596,6;1678  
Villanueva de la Cañada;2020/05/16 09:00:00;10;46,63;148;690,14;1760  
Villanueva del Pardillo;2020/05/16 09:00:00;;23,28;103;599,53;1776  
Nuevo Baztán;2020/05/16 09:00:00;;0;28;446,14;1006  
Villamantilla;2020/05/16 09:00:00;;0;7;485,77;1757  
Villamanta;2020/05/16 09:00:00;;0;12;469,67;1744  
Cabanillas de la Sierra;2020/05/16 09:00:00;;0;10;1322,75;0297  
Cenicientos;2020/05/16 09:00:00;;147,57;28;1377,27;0376  
Puentes Viejas;2020/05/16 09:00:00;;0;;294,55;9020  
Aranjuez;2020/05/16 09:00:00;7;11,74;448;751,59;0133  
Cercedilla;2020/05/16 09:00:00;8;113,86;118;1679,48;0382  
Santorcaz;2020/05/16 09:00:00;;0;7;790,07;1369  
Coslada;2020/05/16 09:00:00;25;30,61;806;987,01;0493  
Morata de Tajuña;2020/05/16 09:00:00;;39,05;98;1275,54;0915  
Robregordo;2020/05/16 09:00:00;;0;;0;1261  
Navarredonda y San Mamés;2020/05/16 09:00:00;;0;;1550,39;0973  
Venturada;2020/05/16 09:00:00;;0;;138,7;1697  
Navacerrada;2020/05/16 09:00:00;;0;18;605,65;0936  
Montejo de la Sierra;2020/05/16 09:00:00;;0;;283,29;0881  
Fresno de Torote;2020/05/16 09:00:00;;0;14;630,35;0571  
Pinilla del Valle;2020/05/16 09:00:00;;0;;0;1126  
Valdemaqueda;2020/05/16 09:00:00;;0;;640,2;1599  
Navas del Rey;2020/05/16 09:00:00;15;514,05;78;2673,06;0992  
Olmeda de las Fuentes;2020/05/16 09:00:00;;0;;862,07;1013  
Bustarviejo;2020/05/16 09:00:00;;0;7;279,66;0284  
Becerril de la Sierra;2020/05/16 09:00:00;;0;32;560,03;0186  
Fuenlabrada;2020/05/16 09:00:00;45;23,23;1546;798,14;0587  
Garganta de los Montes;2020/05/16 09:00:00;;0;;288,18;0626  
Pinto;2020/05/16 09:00:00;20;38,08;281;534,97;1132  
Alameda del Valle;2020/05/16 09:00:00;;0;;0;0035  
Berzosa del Lozoya;2020/05/16 09:00:00;;0;;975,61;0203  
Los Santos de la Humosa;2020/05/16 09:00:00;;0;20;772,2;1375  
El Álamo;2020/05/16 09:00:00;;31,68;80;844,77;0040  
Pelayos de la Presa;2020/05/16 09:00:00;;38,52;18;693,37;1090  
Galapagar;2020/05/16 09:00:00;25;74,09;273;809,08;0611  
Griñón;2020/05/16 09:00:00;;29,07;85;823,72;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/05/16 09:00:00;;316,46;;1265,82;0632  
Aldea del Fresno;2020/05/16 09:00:00;;105,71;57;2008,46;0088  
Carabaña;2020/05/16 09:00:00;;0;14;696,52;0357  
Talamanca de Jarama;2020/05/16 09:00:00;;25,93;29;751,88;1454  
Chapinería;2020/05/16 09:00:00;;42,96;7;300,69;0513  
Ciempozuelos;2020/05/16 09:00:00;16;65,06;239;971,86;0409  
Ajalvir;2020/05/16 09:00:00;;84,89;18;382;0029  
San Lorenzo de El Escorial;2020/05/16 09:00:00;6;32,66;142;773,04;1317  
Gascones;2020/05/16 09:00:00;;0;;0;0647  
San Martín de la Vega;2020/05/16 09:00:00;;15,65;90;469,48;1322  
Móstoles;2020/05/16 09:00:00;157;75,05;2101;1004,38;0920  
Leganés;2020/05/16 09:00:00;70;36,87;2978;1568,52;0745  
Braojos;2020/05/16 09:00:00;;0;;975,61;0246  
Cubas de la Sagra;2020/05/16 09:00:00;;31,19;29;452,21;0506  
Algete;2020/05/16 09:00:00;;19,41;109;528,84;0091  
Mejorada del Campo;2020/05/16 09:00:00;;8,59;174;747,62;0843  
Loeches;2020/05/16 09:00:00;;11,38;49;557,39;0758  
Parla;2020/05/16 09:00:00;17;13,06;754;579,45;1065  
Fuentidueña de Tajo;2020/05/16 09:00:00;;48,71;18;876,77;0604  
Ambite;2020/05/16 09:00:00;;0;7;1182,43;0112  
Torremocha de Jarama;2020/05/16 09:00:00;;0;8;785,08;1533  
Anchuelo;2020/05/16 09:00:00;;0;7;550,75;0127  
Los Molinos;2020/05/16 09:00:00;;91,14;57;1298,7;0875  
Soto del Real;2020/05/16 09:00:00;;0;65;738,72;1441  
Valverde de Alcalá;2020/05/16 09:00:00;;0;8;1720,43;1662  
Fuente el Saz de Jarama;2020/05/16 09:00:00;;29,87;34;507,77;0590  
Horcajo de la Sierra-Aoslos;2020/05/16 09:00:00;;0;;2758,62;0702  
Valdeolmos-Alalpardo;2020/05/16 09:00:00;;0;11;265,96;1625  
Campo Real;2020/05/16 09:00:00;;48,31;27;434,78;0339  
Valdeavero;2020/05/16 09:00:00;;0;8;514,8;1564  
Villamanrique de Tajo;2020/05/16 09:00:00;;0;;568,99;1739  
Cobeña;2020/05/16 09:00:00;9;121,16;74;996,23;0416  
Fresnedillas de la Oliva;2020/05/16 09:00:00;;0;9;572,52;0565  
Valdilecha;2020/05/16 09:00:00;;0;18;613,71;1659  
El Berrueco;2020/05/16 09:00:00;;0;8;1052,63;0210  
Pezuela de las Torres;2020/05/16 09:00:00;;0;;237,53;1111  
Villar del Olmo;2020/05/16 09:00:00;;0;;198,91;1795  
Guadarrama;2020/05/16 09:00:00;17;106,04;218;1359,78;0685  
San Martín de Valdeiglesias;2020/05/16 09:00:00;;23,64;86;1016,67;1338  
Torrelodones;2020/05/16 09:00:00;20;84,33;346;1458,87;1527  
Boadilla del Monte;2020/05/16 09:00:00;42;76,97;351;643,21;0225  
Torrejón de Velasco;2020/05/16 09:00:00;;0;20;456,41;1505  
Villanueva de Perales;2020/05/16 09:00:00;;0;;319,9;1782  
Tielmes;2020/05/16 09:00:00;;0;33;1245,28;1467  
San Sebastián de los Reyes;2020/05/16 09:00:00;14;15,68;488;546,62;1343  
Guadalix de la Sierra;2020/05/16 09:00:00;10;160,93;50;804,63;0679  
Humanes de Madrid;2020/05/16 09:00:00;9;45,59;119;602,75;0730  
Chinchón;2020/05/16 09:00:00;;37,52;27;506,47;0528  
Cadalso de los Vidrios;2020/05/16 09:00:00;;0;8;263,24;0318  
Hoyo de Manzanares;2020/05/16 09:00:00;;59,28;38;450,56;0724  
Torrejón de la Calzada;2020/05/16 09:00:00;;11,27;38;428,31;1492  
Estremera;2020/05/16 09:00:00;;0;9;714,29;0552  
Corpa;2020/05/16 09:00:00;;0;6;841,51;0480  
Meco;2020/05/16 09:00:00;;6,99;128;894,79;0838  
Madarcos;2020/05/16 09:00:00;;0;;0;0783  
Zarzalejo;2020/05/16 09:00:00;7;422,2;29;1749,1;1837  
Arganda del Rey;2020/05/16 09:00:00;14;25,28;348;628,28;0148  
Collado Mediano;2020/05/16 09:00:00;;14,37;32;459,9;0468  
Daganzo de Arriba;2020/05/16 09:00:00;;19,6;41;401,76;0534  
Manzanares El Real;2020/05/16 09:00:00;6;67,87;44;497,74;0822  
Buitrago del Lozoya;2020/05/16 09:00:00;;0;15;796,18;0278  
Valdelaguna;2020/05/16 09:00:00;;0;;106,72;1570  
Valdepiélagos;2020/05/16 09:00:00;;0;;0;1631  
Casarrubuelos;2020/05/16 09:00:00;;0;11;291,16;0360  
Miraflores de la Sierra;2020/05/16 09:00:00;;32,74;37;605,76;0856  
Paracuellos de Jarama;2020/05/16 09:00:00;;3,96;71;280,98;1049  
El Vellón;2020/05/16 09:00:00;;0;13;663,94;1684  
Lozoya;2020/05/16 09:00:00;;0;;172,12;0761  
Collado Villalba;2020/05/16 09:00:00;33;51,82;522;819,74;0474  
Colmenarejo;2020/05/16 09:00:00;;54,76;47;514,79;0442  
Villavieja del Lozoya;2020/05/16 09:00:00;;0;;0;1821  
Prádena del Rincón;2020/05/16 09:00:00;;0;;0;1179  
La Cabrera;2020/05/16 09:00:00;;37,5;12;449,94;0301  
Sevilla la Nueva;2020/05/16 09:00:00;6;64,39;131;1405,88;1415  
La Acebeda;2020/05/16 09:00:00;;0;;0;0014  
Redueña;2020/05/16 09:00:00;;0;;769,23;1219  
Robledillo de la Jara;2020/05/16 09:00:00;;0;;1250;1245  
La Serna del Monte;2020/05/16 09:00:00;;0;;0;1381  
Colmenar de Oreja;2020/05/16 09:00:00;;12,45;26;323,71;0437  
Rozas de Puerto Real;2020/05/16 09:00:00;;0;;566,04;1283  
Valdemanco;2020/05/16 09:00:00;;0;;109,41;1586  
Brunete;2020/05/16 09:00:00;37;344,63;113;1052,53;0262  
Titulcia;2020/05/16 09:00:00;;0;9;685,45;1473  
Villa del Prado;2020/05/16 09:00:00;;76,69;119;1825,15;1718  
Lozoyuela-Navas-Sieteiglesias;2020/05/16 09:00:00;;0;;230,95;9015  
Quijorna;2020/05/16 09:00:00;;0;22;639,72;1198  
Valdemoro;2020/05/16 09:00:00;23;30,27;788;1037,07;1610  
Tres Cantos;2020/05/16 09:00:00;75;157,16;418;875,91;9036  
Torrelaguna;2020/05/16 09:00:00;;84,03;22;462,18;1512  
Rivas-Vaciamadrid;2020/05/16 09:00:00;25;28,36;561;636,42;1230  
El Atazar;2020/05/16 09:00:00;;0;;0;0164  
Pedrezuela;2020/05/16 09:00:00;;16,97;26;441,28;1087  
Santa María de la Alameda;2020/05/16 09:00:00;;0;6;478,47;1356  
Horcajuelo de la Sierra;2020/05/16 09:00:00;;0;;0;0719  
Arroyomolinos;2020/05/16 09:00:00;20;63,7;181;576,51;0151  
Moralzarzal;2020/05/16 09:00:00;;23,03;76;583,45;0908  
Canencia;2020/05/16 09:00:00;;0;;447,43;0344  
Villarejo de Salvanés;2020/05/16 09:00:00;;40,9;38;518,06;1809  
Serranillos del Valle;2020/05/16 09:00:00;;24,01;34;816,33;1408  
Villaviciosa de Odón;2020/05/16 09:00:00;10;35,93;208;747,26;1816  
Camarma de Esteruelas;2020/05/16 09:00:00;;0;42;572,52;0323  
Robledo de Chavela;2020/05/16 09:00:00;;46,84;28;655,74;1258  
Patones;2020/05/16 09:00:00;;0;6;1109,06;1071  
Navalagamella;2020/05/16 09:00:00;;0;6;229,89;0954  
Rascafría;2020/05/16 09:00:00;;0;6;360,58;1202  
El Boalo;2020/05/16 09:00:00;;26,64;42;559,4;0231  
Majadahonda;2020/05/16 09:00:00;30;41,77;574;799,15;0800  
Batres;2020/05/16 09:00:00;;0;8;475,06;0170  
Alcobendas;2020/05/16 09:00:00;46;39,3;785;670,71;0066  
Alcalá de Henares;2020/05/16 09:00:00;40;20,44;2348;1200,11;0053  
